Date (of night),In Bed,Sleep Start,Sleep End,Num of Snoozes,Out of Bed,Sleep Time (min),Bed Time (min),Sleep Quality (1-10),Bed for too long? (1/0),Rating (1-10)
9/13,1:20,1:50,8:30,5,9:20,400,480,7,1,5
9/14,1:05,1:40,8:45,5,9:20,425,495,6,1,4
9/15,0:05,0:45,8:45,4,9:18,480,553,7,1,6
9/16,2:40,2:50,10:30,4,11:10,460,510,5,1,5
9/17,1:30,1:45,9:00,3,9:30,435,480,7,0,7
9/18,1:20,1:50,8:40,6,9:35,410,495,8,1,6
9/19,0:05,0:15,8:30,3,9:00,495,535,7,0,8
9/20,0:00,1:30,8:30,7,9:30,420,570,5,1,4
9/21,0:05,0:40,8:45,3,9:30,485,565,8,1,7
9/22,2:00,2:30,9:00,4,9:35,390,425,5,1,5
9/23,2:30,4:40,11:15,4,11:50,395,560,8,1,6
9/24,0:00,0:30,8:25,1,8:35,475,515,7,0,8
9/25,1:55,2:25,8:45,6,9:50,380,475,6,1,5
9/26,0:00,0:50,8:30,6,9:30,460,570,6,1,6
9/27,0:15,0:45,8:30,6,9:30,465,555,6,1,5
9/28,0:15,2:00,8:45,5,9:25,405,550,6,1,4
9/29,23:30,1:30,9:00,1,9:10,450,590,8,1,6
9/30,5:20,5:30,11:10,0,11:30,340,370,7,0,6
10/1,1:30,1:50,8:50,5,9:30,420,480,6,1,5
10/3,2:00,2:15,10:00,8,11:30,465,570,6,1,4
10/6,0:00,0:45,9:00,1,9:15,495,555,7,0,8
10/7,2:00,2:20,11:30,0,12:10,550,610,7,1,6
10/8,1:20,2:00,8:30,3,8:55,450,455,6,0,7
10/9,23:10,0:20,8:45,6,9:45,505,575,5,1,4
10/10,0:45,1:15,8:50,7,9:55,455,550,5,1,4
10/11,0:30,1:45,9:05,5,9:50,430,560,4,1,4
10/12,0:45,1:30,8:30,2,8:45,420,480,6,0,7
10/13,23:40,0:20,8:45,2,9:05,505,565,6,0,6
10/14,2:05,2:35,9:55,0,9:55,440,470,6,0,8
10/15,23:50,1:45,8:05,1,8:15,380,495,6,0,7
10/16,0:30,1:00,8:05,0,8:05,425,455,6,0,7
10/17,0:20,0:40,8:05,1,8:15,445,475,7,0,8
10/18,23:50,0:10,8:05,1,8:15,475,505,8,0,9
10/19,0:00,0:20,8:05,1,8:15,465,495,7,0,7
10/20,1:00,1:15,8:30,1,8:45,435,525,6,0,6
10/21,0:00,0:40,8:30,1,8:40,470,520,7,0,7